Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2014,1,1,0,0,0.0,0.0,0.0,17.1,17.1,14.0,846.1,2.7,265.5,0
2014,1,1,1,0,0.0,0.0,0.0,16.9,16.9,17.5,845.5,3.0,39.0,0
2014,1,1,2,0,0.0,0.0,0.0,17.3,17.3,23.2,846.4,3.2,45.0,0
2014,1,1,3,0,0.0,0.0,0.0,17.1,17.1,36.4,844.7,3.4,39.0,0
2014,1,1,4,0,0.0,0.0,0.0,16.9,16.9,46.5,844.3,3.2,34.5,0
2014,1,1,5,0,0.0,0.0,0.0,16.8,16.8,79.7,845.1,2.2,21.0,0
2014,1,1,6,0,0.1,0.0,0.1,17.9,17.9,43.0,847.9,2.6,25.5,0
2014,1,1,7,0,206.3,828.2,28.9,20.2,20.2,34.0,851.8,1.9,15.0,0
2014,1,1,8,0,466.0,996.9,36.4,22.3,22.3,32.9,851.2,0.7,16.5,0
2014,1,1,9,0,711.4,1068.1,39.9,23.9,23.9,29.1,849.2,2.1,58.5,0
2014,1,1,10,0,919.4,1105.4,41.9,25.0,25.0,28.0,847.0,4.3,262.5,0
2014,1,1,11,0,1073.3,1125.6,43.0,25.3,25.3,32.3,844.9,6.5,246.0,0
2014,1,1,12,0,1160.2,1133.8,43.5,24.5,24.5,31.3,841.1,7.9,252.0,0
2014,1,1,13,0,1174.6,1133.6,43.6,23.1,23.1,26.9,837.3,8.8,250.5,0
2014,1,1,14,0,1115.6,1125.3,43.2,21.6,21.6,21.1,834.6,8.9,255.0,0
2014,1,1,15,0,989.5,1109.4,42.4,20.1,20.1,18.5,831.9,8.9,256.5,0
2014,1,1,16,0,803.7,1079.7,40.9,18.6,18.6,14.6,829.3,8.3,258.0,0
2014,1,1,17,0,573.2,1025.5,38.3,16.9,16.9,11.7,826.0,7.0,261.0,0
2014,1,1,18,0,317.9,914.5,33.0,14.3,14.3,12.3,821.9,5.4,262.5,0
2014,1,1,19,0,69.9,564.9,18.8,11.7,11.7,15.8,819.6,3.1,262.5,0
2014,1,1,20,0,0.0,0.0,0.0,9.8,9.8,23.8,819.0,0.8,264.0,0
2014,1,1,21,0,0.0,0.0,0.0,8.8,8.8,23.8,819.3,0.7,258.0,0
2014,1,1,22,0,0.0,0.0,0.0,7.4,7.4,32.2,816.6,1.9,261.0,0
2014,1,1,23,0,0.0,0.0,0.0,7.3,7.3,27.0,817.4,2.8,333.0,0
2014,1,2,0,0,0.0,0.0,0.0,7.5,7.5,39.7,819.3,4.0,24.0,0
2014,1,2,1,0,0.0,0.0,0.0,7.5,7.5,32.3,819.7,5.3,34.5,0
2014,1,2,2,0,0.0,0.0,0.0,7.7,7.7,19.6,820.9,5.6,36.0,0
2014,1,2,3,0,,,,,8.0,40.1,822.0,,31.5,0
2014,1,2,4,0,0.0,0.0,0.0,8.0,8.0,46.8,822.1,5.5,25.5,0
2014,1,2,5,0,0.0,0.0,0.0,9.4,9.4,80.1,826.9,4.4,24.0,0
2014,1,2,6,0,0.0,0.0,0.0,11.9,11.9,41.6,832.8,4.0,19.5,0
2014,1,2,7,0,204.1,827.3,28.7,15.9,15.9,34.7,841.0,4.0,16.5,0
2014,1,2,8,0,464.8,998.9,36.3,19.1,19.1,30.3,842.3,2.8,21.0,0
2014,1,2,9,0,711.3,1070.9,39.8,22.1,22.1,25.1,844.2,2.0,22.5,0
2014,1,2,10,0,920.7,1108.9,41.8,24.3,24.3,27.5,845.1,3.5,336.0,0
2014,1,2,11,0,552.6,20.3,534.1,25.8,25.8,41.0,845.9,6.1,274.5,0
2014,1,2,12,0,914.5,98.9,817.1,25.2,25.2,35.0,843.2,7.7,262.5,0
2014,1,2,13,0,1180.5,1139.4,43.5,24.6,24.6,19.1,841.7,8.3,258.0,0
2014,1,2,14,0,1122.5,1132.0,43.2,24.0,24.0,30.3,840.8,8.4,259.5,0
2014,1,2,15,0,996.4,1116.6,42.3,22.6,22.6,21.9,837.3,8.3,259.5,0
2014,1,2,16,0,810.3,1087.5,40.8,21.3,21.3,16.5,835.8,7.8,259.5,0
2014,1,2,17,0,578.8,1034.3,38.1,19.5,19.5,18.0,832.8,6.5,261.0,0
2014,1,2,18,0,9500.0,10500.0,10500.0,70.0,17.0,12.7,830.2,55.0,262.5,0
2014,1,2,19,0,71.5,573.1,18.9,14.8,14.8,14.0,829.3,2.9,261.0,0
2014,1,2,20,0,0.0,0.0,0.0,12.9,12.9,23.2,829.0,0.8,262.5,0
2014,1,2,21,0,0.0,0.0,0.0,12.1,12.1,27.2,830.7,0.7,259.5,0
2014,1,2,22,0,0.0,0.0,0.0,11.3,11.3,35.5,830.2,1.9,277.5,0
2014,1,2,23,0,0.0,0.0,0.0,10.3,10.3,29.0,828.2,3.2,312.0,0
2014,1,3,0,0,0.0,0.0,0.0,9.9,9.9,39.8,828.6,3.6,16.5,0
2014,1,3,1,0,0.0,0.0,0.0,9.5,9.5,34.4,827.2,4.4,24.0,0
2014,1,3,2,0,0.0,0.0,0.0,8.8,8.8,26.3,825.2,5.2,28.5,0
2014,1,3,3,0,0.0,0.0,0.0,8.2,8.2,40.7,823.7,5.6,25.5,0
2014,1,3,4,0,0.0,0.0,0.0,7.6,7.6,46.9,823.3,5.3,21.0,0
2014,1,3,5,0,0.0,0.0,0.0,9.0,9.0,85.2,827.9,4.4,22.5,0
2014,1,3,6,0,0.0,0.0,0.0,11.3,11.3,40.8,833.3,4.4,19.5,0
2014,1,3,7,0,204.3,837.3,28.6,15.4,15.4,30.1,841.2,3.9,18.0,0
2014,1,3,8,0,467.2,1009.6,36.3,18.7,18.7,25.8,842.1,2.4,24.0,0
2014,1,3,9,0,715.0,1079.9,39.8,21.5,21.5,26.3,843.0,1.4,36.0,0
2014,1,3,10,0,925.1,1116.3,41.8,23.9,23.9,27.0,844.6,3.7,315.0,0
2014,1,3,11,0,1080.7,1135.8,42.9,25.5,25.5,46.3,844.4,6.4,244.5,0
2014,1,3,12,0,1169.5,1144.1,43.4,26.6,26.6,31.3,845.7,7.8,253.5,0
2014,1,3,13,0,1185.3,1144.1,43.5,25.6,25.6,24.0,842.5,8.6,252.0,0
2014,1,3,14,0,0.0,0.0,0.0,24.5,24.5,22.0,840.6,8.9,255.0,0
2014,1,3,15,0,1000.6,1120.2,42.4,23.1,23.1,20.3,837.5,9.0,256.5,0
2014,1,3,16,0,813.9,1090.7,40.9,21.7,21.7,15.9,835.5,8.6,258.0,0
2014,1,3,17,0,581.7,1037.1,38.3,20.0,20.0,11.9,832.7,6.8,258.0,0
2014,1,3,18,0,324.4,928.2,33.1,17.9,17.9,12.1,829.3,5.0,258.0,0
2014,1,3,19,0,73.2,584.1,19.0,15.8,15.8,13.9,828.2,2.6,255.0,0
2014,1,3,20,0,0.0,0.0,0.0,14.5,14.5,23.8,828.9,1.6,241.5,0
2014,1,3,21,0,0.0,0.0,0.0,13.1,13.1,30.4,827.2,1.1,222.0,0
2014,1,3,22,0,0.0,0.0,0.0,12.1,12.1,37.0,826.2,1.0,223.5,0
2014,1,3,23,0,0.0,0.0,0.0,11.3,11.3,31.6,825.3,1.7,208.5,0
2014,1,4,0,0,0.0,0.0,0.0,11.1,11.1,42.1,825.2,2.1,190.5,0
2014,1,4,1,0,0.0,0.0,0.0,10.6,10.6,28.6,822.8,2.8,72.0,0
2014,1,4,2,0,0.0,0.0,0.0,9.8,9.8,22.8,819.9,3.8,33.0,0
2014,1,4,3,0,0.0,0.0,0.0,8.8,8.8,30.1,818.0,3.9,37.5,0
2014,1,4,4,0,0.0,0.0,0.0,7.8,7.8,31.5,816.6,3.6,46.5,0
2014,1,4,5,0,0.0,0.0,0.0,9.1,9.1,72.8,821.4,3.5,49.5,0
2014,1,4,6,0,0.0,0.0,0.0,11.5,11.5,36.0,827.3,3.2,40.5,0
2014,1,4,7,0,196.9,811.9,28.4,14.9,14.9,34.1,833.1,3.4,39.0,0
2014,1,4,8,0,454.0,983.5,36.1,17.8,17.8,33.5,834.9,2.1,31.5,0
2014,1,4,9,0,695.1,1051.0,39.7,19.4,19.4,35.4,834.6,2.2,37.5,0
2014,1,4,10,0,898.7,1084.8,41.6,21.6,21.6,27.4,838.8,4.1,310.5,0
2014,1,4,11,0,1048.5,1101.6,42.8,23.3,23.3,46.8,840.3,6.3,267.0,0
